Date,Close,High,Low,Open,Volume
2017-05-23 12:50:00,1.46,1.46,1.45,1.46,3200.0
2017-05-23 12:55:00,1.455,1.46,1.45,1.46,7000.0
2017-05-23 13:00:00,1.46,1.46,1.45,1.455,2000.0
2017-05-23 13:05:00,1.455,1.46,1.45,1.46,11248.0
2017-05-23 13:10:00,1.46,1.46,1.4539,1.46,5900.0
2017-05-23 13:15:00,1.46,1.46,1.45,1.46,11050.0
2017-05-23 13:20:00,1.46,1.46,1.455,1.46,7985.0
2017-05-23 13:25:00,1.45,1.46,1.45,1.46,6237.0
2017-05-23 13:30:00,1.46,1.46,1.45,1.455,10120.0
2017-05-23 13:35:00,1.46,1.46,1.455,1.46,3800.0
2017-05-23 13:40:00,1.4507,1.46,1.45,1.46,8500.0
2017-05-23 13:45:00,1.4399,1.45,1.43,1.45,24309.0
2017-05-23 13:50:00,1.45,1.45,1.43,1.431,14830.0
2017-05-23 13:55:00,1.4493,1.45,1.44,1.45,3240.0
2017-05-23 14:00:00,1.44,1.45,1.44,1.45,11000.0
2017-05-23 14:05:00,1.45,1.45,1.44,1.4415,5370.0
2017-05-23 14:10:00,1.45,1.45,1.4493,1.4493,3600.0
2017-05-23 14:15:00,1.45,1.455,1.4478,1.45,3058.0
2017-05-23 14:20:00,1.45,1.45,1.444,1.45,3250.0
2017-05-23 14:25:00,1.44,1.45,1.43,1.45,22184.0
2017-05-23 14:30:00,1.44,1.45,1.44,1.45,1700.0
2017-05-23 14:35:00,1.45,1.45,1.44,1.445,6575.0
2017-05-23 14:40:00,1.45,1.455,1.43,1.45,8900.0
2017-05-23 14:45:00,1.45,1.45,1.4407,1.45,6600.0
2017-05-23 14:50:00,1.45,1.45,1.45,1.45,1600.0
2017-05-23 14:55:00,1.45,1.46,1.4414,1.45,10261.0
2017-05-23 15:00:00,1.45,1.46,1.45,1.45,6359.0
2017-05-23 15:05:00,1.45,1.45,1.45,1.45,800.0
2017-05-23 15:10:00,1.44,1.44,1.44,1.44,100.0
2017-05-23 15:15:00,1.4407,1.4407,1.4407,1.4407,500.0
2017-05-23 15:20:00,1.45,1.45,1.4407,1.4407,1659.0
2017-05-23 15:25:00,1.442,1.4482,1.442,1.4482,6300.0
2017-05-23 15:30:00,1.445,1.45,1.4402,1.4402,10000.0
2017-05-23 15:35:00,1.4401,1.45,1.4401,1.45,850.0
2017-05-23 15:40:00,1.4453,1.4472,1.44,1.445,8464.0
2017-05-23 15:45:00,1.44,1.45,1.44,1.45,300.0
2017-05-23 15:50:00,1.45,1.45,1.44,1.4407,18520.0
2017-05-23 15:55:00,1.45,1.45,1.44,1.45,12072.0
2017-05-23 16:00:00,1.47,1.48,1.45,1.45,25873.0
2017-05-23 16:05:00,1.48,1.48,1.48,1.48,2056.0
2017-05-23 16:40:00,1.43,1.43,1.43,1.43,290.0
2017-05-24 08:05:00,1.43,1.43,1.43,1.43,500.0
2017-05-24 08:25:00,1.44,1.44,1.44,1.44,1000.0
2017-05-24 08:50:00,1.45,1.46,1.45,1.46,300.0
2017-05-24 09:00:00,1.45,1.48,1.45,1.48,5000.0
2017-05-24 09:05:00,1.45,1.45,1.45,1.45,939.0
2017-05-24 09:10:00,1.48,1.48,1.48,1.48,942.0
2017-05-24 09:35:00,1.4401,1.4699,1.4401,1.45,14205.0
2017-05-24 09:40:00,1.4504,1.46,1.4499,1.45,34913.0
2017-05-24 09:45:00,1.45,1.4501,1.45,1.4501,3086.0
2017-05-24 09:50:00,1.45,1.45,1.45,1.45,3732.0
2017-05-24 09:55:00,1.456,1.46,1.4401,1.4499,4586.0
2017-05-24 10:00:00,1.451,1.451,1.448,1.448,5360.0
2017-05-24 10:05:00,1.45,1.4563,1.45,1.45,7217.0
2017-05-24 10:10:00,1.4499,1.4539,1.4401,1.45,17970.0
2017-05-24 10:15:00,1.45,1.45,1.45,1.45,100.0
2017-05-24 10:20:00,1.44,1.4401,1.44,1.44,6700.0
2017-05-24 10:25:00,1.44,1.4472,1.44,1.4401,28483.0
2017-05-24 10:30:00,1.4472,1.47,1.43,1.44,34517.0
2017-05-24 10:35:00,1.445,1.4475,1.44,1.44,12455.0
2017-05-24 10:40:00,1.45,1.45,1.445,1.445,18800.0
2017-05-24 10:45:00,1.4501,1.4699,1.45,1.46,6925.0
2017-05-24 10:50:00,1.46,1.46,1.45,1.4501,11400.0
2017-05-24 10:55:00,1.4685,1.47,1.45,1.46,10180.0
2017-05-24 11:00:00,1.445,1.45,1.43,1.45,10702.0
2017-05-24 11:05:00,1.4401,1.445,1.4401,1.445,560.0
2017-05-24 11:10:00,1.453,1.47,1.445,1.445,18625.0
2017-05-24 11:15:00,1.4501,1.4501,1.4501,1.4501,1500.0
2017-05-24 11:20:00,1.45,1.45,1.45,1.45,100.0
2017-05-24 11:25:00,1.4599,1.46,1.4501,1.4501,2200.0
2017-05-24 11:30:00,1.45,1.455,1.45,1.4501,2627.0
2017-05-24 11:35:00,1.45,1.46,1.45,1.455,4150.0
2017-05-24 11:40:00,1.44,1.4401,1.43,1.44,3062.0
2017-05-24 11:45:00,1.434,1.4399,1.43,1.43,22338.0
2017-05-24 11:50:00,1.4301,1.4399,1.4301,1.4315,8500.0
2017-05-24 11:55:00,1.43,1.4329,1.42,1.43,29511.0
2017-05-24 12:00:00,1.43,1.4372,1.43,1.4372,5620.0
2017-05-24 12:05:00,1.44,1.4415,1.4224,1.4224,12950.0
2017-05-24 12:10:00,1.44,1.44,1.44,1.44,390.0
2017-05-24 12:15:00,1.4478,1.4478,1.445,1.445,2013.0
2017-05-24 12:20:00,1.445,1.445,1.4424,1.4435,950.0
2017-05-24 12:25:00,1.4401,1.4401,1.4401,1.4401,460.0
2017-05-24 12:35:00,1.44,1.45,1.44,1.44,19159.0
2017-05-24 12:55:00,1.442,1.442,1.442,1.442,200.0
2017-05-24 13:00:00,1.44,1.4401,1.44,1.4401,10325.0
2017-05-24 13:05:00,1.442,1.442,1.44,1.4418,11390.0
2017-05-24 13:10:00,1.4318,1.4318,1.43,1.43,2200.0
2017-05-24 13:30:00,1.44,1.44,1.43,1.44,12200.0
2017-05-24 13:35:00,1.44,1.44,1.43,1.4302,5300.0
2017-05-24 13:40:00,1.44,1.44,1.44,1.44,100.0
2017-05-24 13:45:00,1.4361,1.439,1.4361,1.439,737.0
2017-05-24 13:50:00,1.44,1.44,1.42,1.44,30542.0
2017-05-24 13:55:00,1.44,1.45,1.44,1.45,16800.0
2017-05-24 14:00:00,1.4365,1.44,1.42,1.42,1000.0
2017-05-24 14:10:00,1.4301,1.44,1.4301,1.435,962.0
2017-05-24 14:20:00,1.433,1.4378,1.433,1.4378,5645.0
2017-05-24 14:30:00,1.435,1.4396,1.435,1.4396,1595.0
2017-05-24 14:35:00,1.4393,1.4393,1.4393,1.4393,400.0
2017-05-24 14:40:00,1.43,1.43,1.43,1.43,649.0
2017-05-24 14:45:00,1.45,1.45,1.43,1.4301,9536.0
2017-05-24 14:50:00,1.445,1.445,1.445,1.445,100.0
2017-05-24 14:55:00,1.445,1.445,1.445,1.445,500.0
2017-05-24 15:00:00,1.45,1.45,1.445,1.445,4000.0
2017-05-24 15:10:00,1.4404,1.45,1.4404,1.45,3550.0
2017-05-24 15:15:00,1.45,1.45,1.4418,1.4418,1600.0
2017-05-24 15:20:00,1.44,1.44,1.44,1.44,300.0
